Opened at,Open quote,Closed at,Close quote,Stop,Quantity,P/L,Return,Equity
2024-03-03T22:30:00,150.07,2024-03-04T02:15:00,150.12,,1,0.030,0.030%,137.136
2024-03-04T04:15:00,150.18,2024-03-04T04:30:00,150.15,,1,-0.018,-0.018%,137.098
2024-03-04T09:30:00,150.32,2024-03-04T09:45:00,150.22,,1,-0.067,-0.067%,137.012
2024-03-05T13:15:00,150.27,2024-03-05T13:30:00,150.25,,-1,0.015,0.015%,137.007
2024-03-05T13:45:00,150.18,2024-03-05T23:15:00,149.91,,-1,0.175,0.175%,137.162
2024-03-06T02:30:00,149.96,2024-03-07T16:45:00,147.99,,-1,1.335,1.317%,138.476
2024-03-08T01:00:00,147.75,2024-03-08T09:00:00,147.81,,1,0.045,0.045%,138.483
2024-03-08T13:00:00,147.23,2024-03-08T13:15:00,147.24,,1,0.007,0.007%,138.470
2024-03-08T14:15:00,146.93,2024-03-08T18:45:00,147.02,,-1,-0.065,-0.065%,138.385
2024-03-10T23:00:00,147.05,2024-03-11T11:30:00,146.70,,1,-0.234,-0.234%,138.130
2024-03-11T13:30:00,146.88,2024-03-11T14:15:00,147.09,,1,0.145,0.146%,138.256
2024-03-11T15:30:00,146.87,2024-03-11T21:15:00,146.92,,1,0.029,0.029%,138.266
2024-03-12T01:15:00,146.94,2024-03-12T01:30:00,146.95,,1,0.003,0.003%,138.249
2024-03-12T14:30:00,147.74,2024-03-13T12:45:00,147.95,,-1,-0.140,-0.140%,138.089
2024-03-13T16:00:00,147.74,2024-03-13T23:00:00,147.71,,1,-0.022,-0.022%,138.046
2024-03-14T00:15:00,147.64,2024-03-14T00:30:00,147.59,,1,-0.032,-0.032%,137.994
2024-03-14T10:45:00,147.81,2024-03-14T11:00:00,147.75,,-1,0.044,0.044%,138.018
2024-03-14T11:15:00,147.72,2024-03-14T11:30:00,147.73,,-1,-0.004,-0.004%,137.994
2024-03-14T12:15:00,147.72,2024-03-14T23:30:00,148.29,,-1,-0.385,-0.387%,137.589
2024-03-15T00:45:00,148.51,2024-03-15T13:30:00,148.89,,-1,-0.252,-0.253%,137.316
2024-03-15T14:45:00,148.97,2024-03-15T20:45:00,149.06,,1,0.060,0.060%,137.355
2024-03-17T21:30:00,149.05,2024-03-19T06:30:00,150.30,,1,0.832,0.839%,138.167
2024-03-19T07:15:00,150.31,2024-03-19T07:30:00,150.10,,1,-0.139,-0.138%,138.016
2024-03-19T14:45:00,150.69,2024-03-22T20:45:00,151.40,,1,0.474,0.476%,138.470
2024-03-24T21:30:00,151.38,2024-03-27T21:15:00,151.25,,1,-0.091,-0.090%,138.362
2024-03-28T00:30:00,151.29,2024-03-28T08:15:00,151.38,,1,0.061,0.061%,138.403
2024-03-28T11:15:00,151.36,2024-03-28T20:45:00,151.37,,1,0.009,0.009%,138.392
2024-03-31T21:30:00,151.25,2024-04-05T20:45:00,151.62,,1,0.246,0.247%,138.618
2024-04-07T21:30:00,151.59,2024-04-09T12:45:00,151.76,,1,0.113,0.113%,138.712
2024-04-09T13:00:00,151.77,2024-04-09T16:15:00,151.70,,1,-0.046,-0.046%,138.646
2024-04-09T18:00:00,151.69,2024-04-10T18:45:00,152.91,,1,0.798,0.804%,139.424
2024-04-11T08:15:00,153.19,2024-04-11T11:45:00,153.06,,-1,0.088,0.087%,139.498
2024-04-11T11:45:00,153.06,2024-04-12T20:45:00,153.26,,1,0.261,0.131%,139.739
2024-04-14T21:30:00,153.06,2024-04-19T20:45:00,154.64,,1,1.022,1.033%,140.611
2024-04-21T21:30:00,154.48,2024-04-23T08:30:00,154.85,,1,0.236,0.236%,140.837
2024-04-23T08:45:00,154.83,2024-04-23T09:30:00,154.84,,1,0.006,0.006%,140.824
2024-04-23T09:45:00,154.83,2024-04-23T10:00:00,154.84,,1,0.006,0.006%,140.810
2024-04-23T10:15:00,154.80,2024-04-24T00:15:00,154.79,,1,-0.010,-0.010%,140.780
2024-04-24T05:15:00,154.85,2024-04-24T06:30:00,154.92,,1,0.045,0.045%,140.805
